0.00 0.37 0.73 1.05 1.33 1.54 1.68 1.75 1.75 1.68 
1.54 1.35 1.12 0.87 0.61 0.36 0.13 -0.06 -0.21 -0.31 
-0.36 -0.36 -0.32 -0.23 -0.12 -0.00 0.12 0.23 0.32 0.36 
0.36 0.31 0.21 0.06 -0.13 -0.36 -0.61 -0.87 -1.12 -1.35 
-1.54 -1.68 -1.75 -1.75 -1.68 -1.54 -1.33 -1.05 -0.73 -0.37 
-0.00 0.37 0.73 1.05 1.33 1.54 1.68 1.75 1.75 1.68 
1.54 1.35 1.12 0.87 0.61 0.36 0.13 -0.06 -0.21 -0.31 
-0.36 -0.36 -0.32 -0.23 -0.12 -0.00 0.12 0.23 0.32 0.36 
0.36 0.31 0.21 0.06 -0.13 -0.36 -0.61 -0.87 -1.12 -1.35 
-1.54 -1.68 -1.75 -1.75 -1.68 -1.54 -1.33 -1.05 -0.73 -0.37 
-0.00 0.37 0.73 1.05 1.33 1.54 1.68 1.75 1.75 1.68 
1.54 1.35 1.12 0.87 0.61 0.36 0.13 -0.06 -0.21 -0.31 
-0.36 -0.36 -0.32 -0.23 -0.12 -0.00 0.12 0.23 0.32 0.36 
0.36 0.31 0.21 0.06 -0.13 -0.36 -0.61 -0.87 -1.12 -1.35 
-1.54 -1.68 -1.75 -1.75 -1.68 -1.54 -1.33 -1.05 -0.73 -0.37 
-0.00 0.37 0.73 1.05 1.33 1.54 1.68 1.75 1.75 1.68 
1.54 1.35 1.12 0.87 0.61 0.36 0.13 -0.06 -0.21 -0.31 
-0.36 -0.36 -0.32 -0.23 -0.12 0.00 0.12 0.23 0.32 0.36 
0.36 0.31 0.21 0.06 -0.13 -0.36 -0.61 -0.87 -1.12 -1.35 
-1.54 -1.68 -1.75 -1.75 -1.68 -1.54 -1.33 -1.05 -0.73 -0.37 
-0.00 0.37 0.73 1.05 1.33 1.54 1.68 1.75 1.75 1.68 
1.54 1.35 1.12 0.87 0.61 0.36 0.13 -0.06 -0.21 -0.31 
-0.36 -0.36 -0.32 -0.23 -0.12 -0.00 0.12 0.23 0.32 0.36 
0.36 0.31 0.21 0.06 -0.13 -0.36 -0.61 -0.87 -1.12 -1.35 
-1.54 -1.68 -1.75 -1.75 -1.68 -1.54 -1.33 -1.05 -0.73 -0.37 
-0.00 0.37 0.73 1.05 1.33 1.54 1.68 1.75 1.75 1.68 
1.54 1.35 1.12 0.87 0.61 0.36 0.13 -0.06 -0.21 -0.31 
-0.36 -0.36 -0.32 -0.23 -0.12 0.00 0.12 0.23 0.32 0.36 
0.36 0.31 0.21 0.06 -0.13 -0.36 -0.61 -0.87 -1.12 -1.35 
-1.54 -1.68 -1.75 -1.75 -1.68 -1.54 -1.33 -1.05 -0.73 -0.37 
-0.00 0.37 0.73 1.05 1.33 1.54 1.68 1.75 1.75 1.68 
1.54 1.35 1.12 0.87 0.61 0.36 0.13 -0.06 -0.21 -0.31 
-0.36 -0.36 -0.32 -0.23 -0.12 0.00 0.12 0.23 0.32 0.36 
0.36 0.31 0.21 0.06 -0.13 -0.36 -0.61 -0.87 -1.12 -1.35 
-1.54 -1.68 -1.75 -1.75 -1.68 -1.54 -1.33 -1.05 -0.73 -0.37 
0.00 0.37 0.73 1.05 1.33 1.54 1.68 1.75 1.75 1.68 
1.54 1.35 1.12 0.87 0.61 0.36 0.13 -0.06 -0.21 -0.31 
-0.36 -0.36 -0.32 -0.23 -0.12 -0.00 0.12 0.23 0.32 0.36 
0.36 0.31 0.21 0.06 -0.13 -0.36 -0.61 -0.87 -1.12 -1.35 
-1.54 -1.68 -1.75 -1.75 -1.68 -1.54 -1.33 -1.05 -0.73 -0.37 
-0.00 0.37 0.73 1.05 1.33 1.54 1.68 1.75 1.75 1.68 
1.54 1.35 1.12 0.87 0.61 0.36 0.13 -0.06 -0.21 -0.31 
-0.36 -0.36 -0.32 -0.23 -0.12 -0.00 0.12 0.23 0.32 0.36 
0.36 0.31 0.21 0.06 -0.13 -0.36 -0.61 -0.87 -1.12 -1.35 
-1.54 -1.68 -1.75 -1.75 -1.68 -1.54 -1.33 -1.05 -0.73 -0.37 
-0.00 0.37 0.73 1.05 1.33 1.54 1.68 1.75 1.75 1.68 
1.54 1.35 1.12 0.87 0.61 0.36 0.13 -0.06 -0.21 -0.31 
-0.36 -0.36 -0.32 -0.23 -0.12 0.00 0.12 0.23 0.32 0.36 
0.36 0.31 0.21 0.06 -0.13 -0.36 -0.61 -0.87 -1.12 -1.35 
-1.54 -1.68 -1.75 -1.75 -1.68 -1.54 -1.33 -1.05 -0.73 -0.37
